,Actual,Forecast
2016-07-26,184.946,
2016-07-27,179.22799999999998,
2016-07-28,191.826,
2016-07-29,174.358,
2016-07-30,148.158,
2016-07-31,143.131,
2016-08-01,176.338,
2016-08-02,190.16099999999997,
2016-08-03,163.834,
2016-08-04,170.52599999999998,
2016-08-05,180.17,
2016-08-06,151.079,
2016-08-07,137.256,
2016-08-08,166.09599999999998,
2016-08-09,184.47400000000002,
2016-08-10,169.709,
2016-08-11,196.287,
2016-08-12,176.21200000000002,
2016-08-13,149.82299999999998,
2016-08-14,153.058,
2016-08-15,180.453,
2016-08-16,195.56400000000002,
2016-08-17,199.805,
2016-08-18,200.308,
2016-08-19,195.50099999999998,
2016-08-20,161.541,
2016-08-21,153.592,
2016-08-22,209.984,
2016-08-23,199.02,
2016-08-24,198.611,
2016-08-25,190.035,
2016-08-26,196.475,
2016-08-27,170.11700000000002,
2016-08-28,151.45600000000002,
2016-08-29,201.78400000000002,
2016-08-30,207.282,
2016-08-31,207.43900000000002,
2016-09-01,208.602,
2016-09-02,201.942,
2016-09-03,170.4,
2016-09-04,161.761,
2016-09-05,209.199,
2016-09-06,206.21400000000003,
2016-09-07,200.622,
2016-09-08,203.764,
2016-09-09,204.518,
2016-09-10,182.30700000000002,
2016-09-11,181.458,
2016-09-12,203.292,
2016-09-13,201.43900000000002,
2016-09-14,203.544,
2016-09-15,201.722,
2016-09-16,205.68,
2016-09-17,177.343,
2016-09-18,175.804,
2016-09-19,213.09400000000002,
2016-09-20,210.235,
2016-09-21,207.377,
2016-09-22,212.81099999999998,
2016-09-23,205.429,
2016-09-24,175.709,
2016-09-25,162.546,
2016-09-26,215.639,
2016-09-27,214.257,
2016-09-28,184.78799999999998,
2016-09-29,188.967,
2016-09-30,207.062,
2016-10-01,201.69,
2016-10-02,205.743,
2016-10-03,213.25099999999998,
2016-10-04,226.477,
2016-10-05,243.09599999999998,
2016-10-06,272.156,
2016-10-07,263.894,
2016-10-08,234.426,
2016-10-09,252.835,
2016-10-10,305.08,
2016-10-11,315.384,
2016-10-12,310.264,
2016-10-13,303.666,
2016-10-14,286.639,
2016-10-15,255.22299999999998,
2016-10-16,222.676,
2016-10-17,264.77299999999997,
2016-10-18,308.222,
2016-10-19,326.034,
2016-10-20,342.434,
2016-10-21,329.67900000000003,
2016-10-22,299.73900000000003,
2016-10-23,304.2,
2016-10-24,359.49199999999996,
2016-10-25,354.026,
2016-10-26,329.49,
2016-10-27,292.639,
2016-10-28,277.308,
2016-10-29,250.385,
2016-10-30,269.863,
2016-10-31,296.566,
2016-11-01,307.656,
2016-11-02,323.427,
2016-11-03,347.61699999999996,
2016-11-04,338.789,
2016-11-05,312.494,
2016-11-06,319.154,
2016-11-07,404.574,
2016-11-08,442.902,
2016-11-09,438.786,
2016-11-10,425.78,
2016-11-11,429.958,
2016-11-12,408.43800000000005,
2016-11-13,408.124,
2016-11-14,445.164,
2016-11-15,361.597,
2016-11-16,320.6,
2016-11-17,330.213,
2016-11-18,363.074,
2016-11-19,341.962,
2016-11-20,317.80400000000003,
2016-11-21,316.07599999999996,
